Team 1,Score,Team 2,Score,Date,Video ID
Denver Nuggets,111,Oklahoma City Thunder,105,4/12/17,8HPqEwnk7Pk
San Antonio Spurs,97,Utah Jazz,101,4/12/17,t221ruYan-c
Los Angeles Lakers,94,Golden State Warriors,109,4/12/17,wE4cdy8ow5Y
Brooklyn Nets,73,Chicago Bulls,112,4/12/17,P8Uo6Qo_S1g
Toronto Raptors,98,Cleveland Cavaliers,83,4/12/17,ntP1EQMAnDw
Oklahoma City Thunder,100,Minnesota Timberwolves,98,4/11/17,fVOlH-qv8yU
Houston Rockets,96,Los Angeles Clippers,125,4/10/17,febRh2-vQ-4
San Antonio Spurs,98,Portland Trail Blazers,99,4/10/17,A271If6exZk
Utah Jazz,105,Golden State Warriors,99,4/10/17,uFa6Xqa2jtg
Cleveland Cavaliers,121,Miami Heat,124,4/10/17,_UgYphDNgrk
Minnesota Timberwolves,109,Los Angeles Lakers,110,4/9/17,oXoqRh9nu1U
Oklahoma City Thunder,106,Denver Nuggets,105,4/9/17, MQtEcQMfVTA
Cleveland Cavaliers,125,Atlanta Hawks,126,4/9/17, xBpDztmVIM8
Utah Jazz,86,Portland Trail Blazers,101,4/8/17, P6qzOfwdHIo
New Orleans Pelicans,101,Golden State Warriors,123,4/8/17, LSaTGlC6sEE
Los Angeles Clippers,98,San Antonio Spurs,87,4/8/17, ZMjx_KDrIg8
Miami Heat,106,Washington Wizards,103,4/8/17, d13eLsokt9o
Indiana Pacers,127,Orlando Magic,112,4/8/17, V9pwHFlH3NM
Boston Celtics,121,Charlotte Hornets,114,4/8/17, bjeu5pym5N4
Chicago Bulls,106,Brooklyn Nets,107,4/8/17, nM2ZyMixMdY
Minnesota Timberwolves,113,Utah Jazz,120,4/7/17, kvBxlTa3G_0
Detroit Pistons,114,Houston Rockets,109,4/7/17, 3hX0tbmDv-E
Oklahoma City Thunder,99,Phoenix Suns,120,4/7/17, Lf64cB2Qnhg
San Antonio Spurs,102,Dallas Mavericks,89,4/7/17, mcE8EEAYO_Y
