homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,thumbnail
Denver_Nuggets,111,Oklahoma_City_Thunder,105,8HPqEwnk7Pk,4/12/17,
San_Antonio_Spurs,97,Utah_Jazz,101,t221ruYan-c,4/12/17,
Los_Angeles_Lakers,94,Golden_State_Warriors,109,wE4cdy8ow5Y,4/12/17,
Brooklyn_Nets,73,Chicago_Bulls,112,P8Uo6Qo_S1g,4/12/17,
Toronto_Raptors,98,Cleveland_Cavaliers,83,ntP1EQMAnDw,4/12/17,
Oklahoma_City_Thunder,100,Minnesota_Timberwolves,98,fVOlH-qv8yU,4/11/17,
Houston_Rockets,96,Los_Angeles_Clippers,125,febRh2-vQ-4,4/10/17,
San_Antonio_Spurs,98,Portland_Trail_Blazers,99,A271If6exZk,4/10/17,
Utah_Jazz,105,Golden_State_Warriors,99,uFa6Xqa2jtg,4/10/17,
Cleveland_Cavaliers,121,Miami_Heat,124,_UgYphDNgrk,4/10/17,
Minnesota_Timberwolves,109,Los_Angeles_Lakers,110,oXoqRh9nu1U,4/9/17,
Oklahoma_City_Thunder,106,Denver_Nuggets,105, MQtEcQMfVTA,4/9/17,
Cleveland_Cavaliers,125,Atlanta_Hawks,126, xBpDztmVIM8,4/9/17,
Utah_Jazz,86,Portland_Trail_Blazers,101, P6qzOfwdHIo,4/8/17,
New_Orleans_Pelicans,101,Golden_State_Warriors,123, LSaTGlC6sEE,4/8/17,
Los_Angeles_Clippers,98,San_Antonio_Spurs,87, ZMjx_KDrIg8,4/8/17,
Miami_Heat,106,Washington_Wizards,103, d13eLsokt9o,4/8/17,
Indiana_Pacers,127,Orlando_Magic,112, V9pwHFlH3NM,4/8/17,
Boston_Celtics,121,Charlotte_Hornets,114, bjeu5pym5N4,4/8/17,
Chicago_Bulls,106,Brooklyn_Nets,107, nM2ZyMixMdY,4/8/17,
Minnesota_Timberwolves,113,Utah_Jazz,120, kvBxlTa3G_0,4/7/17,
Detroit_Pistons,114,Houston_Rockets,109, 3hX0tbmDv-E,4/7/17,
Oklahoma_City_Thunder,99,Phoenix_Suns,120, Lf64cB2Qnhg,4/7/17,
San_Antonio_Spurs,102,Dallas_Mavericks,89, mcE8EEAYO_Y,4/7/17,
Miami_Heat,94,Toronto_Raptors,96, -h1BPeGJI1I,4/7/17,
Atlanta_Hawks,114,Cleveland_Cavaliers,100, c_6q23Utc8A,4/7/17,
Minnesota_Timberwolves,98,Portland_Trail_Blazers,105, qj1B1ndUVNk,4/6/17,
Washington_Wizards,106,New_York_Knicks,103, SO3WGl-O8Ck,4/6/17,
Boston_Celtics,116,Atlanta_Hawks,123, TVzM1-WZ-Qs,4/6/17,
Chicago_Bulls,102,Philadelphia_76ers,90, kL7bsrpTods,4/6/17,
Milwaukee_Bucks,89,Indiana_Pacers,104, rcmlUbIzhMY,4/6/17,
Los_Angeles_Lakers,102,San_Antonio_Spurs,95, x5f1LiPpW1M,4/5/17,
Golden_State_Warriors,120,Phoenix_Suns,111, g50VrZbkxEk,4/5/17,
Toronto_Raptors,105,Detroit_Pistons,102, pbd54lWUgjg,4/5/17,
Denver_Nuggets,104,Houston_Rockets,110, 2uLEPvagpH0,4/5/17,
Cleveland_Cavaliers,114,Boston_Celtics,91, TV_KQ0vY6tI,4/5/17,
Miami_Heat,112,Charlotte_Hornets,99, 9pN9WAPvSU8,4/5/17,
Minnesota_Timberwolves,107,Golden_State_Warriors,121, JNMhthnJ2k8,4/4/17,
Memphis_Grizzlies,89,San_Antonio_Spurs,95, JkofIVopfSw,4/4/17,
Milwaukee_Bucks,79,Oklahoma_City_Thunder,110, g8ms1LptRPo,4/4/17,
Toronto_Raptors,90,Indiana_Pacers,108, Nqv08QaXbU0,4/4/17,
Orlando_Magic,102,Cleveland_Cavaliers,122, indiRFgmW5E,4/4/17,
Portland_Trail_Blazers,109,Minnesota_Timberwolves,110, PWdBnzcmwPw,4/3/17,
Houston_Rockets,123,Phoenix_Suns,116, gM8viNZnE2c,4/2/17,
Washington_Wizards,115,Golden_State_Warriors,139, w-Fo45DpsZU,4/2/17,
Indiana_Pacers,130,Cleveland_Cavaliers,135, Egn9maWVY_A,4/2/17,
Chicago_Bulls,117,New_Orleans_Pelicans,110, YoasZ5g3kJk,4/2/17,
Memphis_Grizzlies,103,Los_Angeles_Lakers,108, UI3lF_BD7_8,4/2/17,
Dallas_Mavericks,109,Milwaukee_Bucks,105, AzHSV6qNG0g,4/2/17,
Utah_Jazz,103,San_Antonio_Spurs,109, 8J8dLpu_YfY,4/2/17,
Charlotte_Hornets,113,Oklahoma_City_Thunder,101, 2priqDE94Lk,4/2/17,
Boston_Celtics,110,New_York_Knicks,94, HnKTjYp3hts,4/2/17,
Sacramento_Kings,123,Minnesota_Timberwolves,117, EOAkaaHOirU,4/1/17,
Atlanta_Hawks,104,Chicago_Bulls,106, TB4FHSEx1qA,4/1/17,
Los_Angeles_Lakers,104,Los_Angeles_Clippers,115, yBVBgGaudOI,4/1/17,
