Team 1,Score,Team 2,Score,Date,Video ID
Denver_Nuggets,111,Oklahoma_City_Thunder,105,4/12/17,8HPqEwnk7Pk
San_Antonio_Spurs,97,Utah_Jazz,101,4/12/17,t221ruYan-c
Los_Angeles_Lakers,94,Golden_State_Warriors,109,4/12/17,wE4cdy8ow5Y
Brooklyn_Nets,73,Chicago_Bulls,112,4/12/17,P8Uo6Qo_S1g
Toronto_Raptors,98,Cleveland_Cavaliers,83,4/12/17,ntP1EQMAnDw
Oklahoma_City_Thunder,100,Minnesota_Timberwolves,98,4/11/17,fVOlH-qv8yU
Houston_Rockets,96,Los_Angeles_Clippers,125,4/10/17,febRh2-vQ-4
San_Antonio_Spurs,98,Portland_Trail_Blazers,99,4/10/17,A271If6exZk
Utah_Jazz,105,Golden_State_Warriors,99,4/10/17,uFa6Xqa2jtg
Cleveland_Cavaliers,121,Miami_Heat,124,4/10/17,_UgYphDNgrk
Minnesota_Timberwolves,109,Los_Angeles_Lakers,110,4/9/17,oXoqRh9nu1U
Oklahoma_City_Thunder,106,Denver_Nuggets,105,4/9/17, MQtEcQMfVTA
Cleveland_Cavaliers,125,Atlanta_Hawks,126,4/9/17, xBpDztmVIM8
Utah_Jazz,86,Portland_Trail_Blazers,101,4/8/17, P6qzOfwdHIo
New_Orleans_Pelicans,101,Golden_State_Warriors,123,4/8/17, LSaTGlC6sEE
Los_Angeles_Clippers,98,San_Antonio_Spurs,87,4/8/17, ZMjx_KDrIg8
Miami_Heat,106,Washington_Wizards,103,4/8/17, d13eLsokt9o
Indiana_Pacers,127,Orlando_Magic,112,4/8/17, V9pwHFlH3NM
Boston_Celtics,121,Charlotte_Hornets,114,4/8/17, bjeu5pym5N4
Chicago_Bulls,106,Brooklyn_Nets,107,4/8/17, nM2ZyMixMdY
Minnesota_Timberwolves,113,Utah_Jazz,120,4/7/17, kvBxlTa3G_0
Detroit_Pistons,114,Houston_Rockets,109,4/7/17, 3hX0tbmDv-E
Oklahoma_City_Thunder,99,Phoenix_Suns,120,4/7/17, Lf64cB2Qnhg
