homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Denver Nuggets,111,Oklahoma City Thunder,105,8HPqEwnk7Pk,4/12/17
San Antonio Spurs,97,Utah Jazz,101,t221ruYan-c,4/12/17
Los Angeles Lakers,94,Golden State Warriors,109,wE4cdy8ow5Y,4/12/17
Brooklyn Nets,73,Chicago Bulls,112,P8Uo6Qo_S1g,4/12/17
Toronto Raptors,98,Cleveland Cavaliers,83,ntP1EQMAnDw,4/12/17
Oklahoma City Thunder,100,Minnesota Timberwolves,98,fVOlH-qv8yU,4/11/17
Houston Rockets,96,Los Angeles Clippers,125,febRh2-vQ-4,4/10/17
San Antonio Spurs,98,Portland Trail Blazers,99,A271If6exZk,4/10/17
Utah Jazz,105,Golden State Warriors,99,uFa6Xqa2jtg,4/10/17
Cleveland Cavaliers,121,Miami Heat,124,_UgYphDNgrk,4/10/17
Minnesota Timberwolves,109,Los Angeles Lakers,110,oXoqRh9nu1U,4/9/17
Oklahoma City Thunder,106,Denver Nuggets,105, MQtEcQMfVTA,4/9/17
Cleveland Cavaliers,125,Atlanta Hawks,126, xBpDztmVIM8,4/9/17
Utah Jazz,86,Portland Trail Blazers,101, P6qzOfwdHIo,4/8/17
New Orleans Pelicans,101,Golden State Warriors,123, LSaTGlC6sEE,4/8/17
Los Angeles Clippers,98,San Antonio Spurs,87, ZMjx_KDrIg8,4/8/17
Miami Heat,106,Washington Wizards,103, d13eLsokt9o,4/8/17
Indiana Pacers,127,Orlando Magic,112, V9pwHFlH3NM,4/8/17
Boston Celtics,121,Charlotte Hornets,114, bjeu5pym5N4,4/8/17
Chicago Bulls,106,Brooklyn Nets,107, nM2ZyMixMdY,4/8/17
Minnesota Timberwolves,113,Utah Jazz,120, kvBxlTa3G_0,4/7/17
Detroit Pistons,114,Houston Rockets,109, 3hX0tbmDv-E,4/7/17
Oklahoma City Thunder,99,Phoenix Suns,120, Lf64cB2Qnhg,4/7/17
San Antonio Spurs,102,Dallas Mavericks,89, mcE8EEAYO_Y,4/7/17
Miami Heat,94,Toronto Raptors,96, -h1BPeGJI1I,4/7/17
Atlanta Hawks,114,Cleveland Cavaliers,100, c_6q23Utc8A,4/7/17
Minnesota Timberwolves,98,Portland Trail Blazers,105, qj1B1ndUVNk,4/6/17
Washington Wizards,106,New York Knicks,103, SO3WGl-O8Ck,4/6/17
Boston Celtics,116,Atlanta Hawks,123, TVzM1-WZ-Qs,4/6/17
Chicago Bulls,102,Philadelphia 76ers,90, kL7bsrpTods,4/6/17
Milwaukee Bucks,89,Indiana Pacers,104, rcmlUbIzhMY,4/6/17
Los Angeles Lakers,102,San Antonio Spurs,95, x5f1LiPpW1M,4/5/17
Golden State Warriors,120,Phoenix Suns,111, g50VrZbkxEk,4/5/17
Toronto Raptors,105,Detroit Pistons,102, pbd54lWUgjg,4/5/17
Denver Nuggets,104,Houston Rockets,110, 2uLEPvagpH0,4/5/17
Cleveland Cavaliers,114,Boston Celtics,91, TV_KQ0vY6tI,4/5/17
Miami Heat,112,Charlotte Hornets,99, 9pN9WAPvSU8,4/5/17
Minnesota Timberwolves,107,Golden State Warriors,121, JNMhthnJ2k8,4/4/17
Memphis Grizzlies,89,San Antonio Spurs,95, JkofIVopfSw,4/4/17
Milwaukee Bucks,79,Oklahoma City Thunder,110, g8ms1LptRPo,4/4/17
Toronto Raptors,90,Indiana Pacers,108, Nqv08QaXbU0,4/4/17
Orlando Magic,102,Cleveland Cavaliers,122, indiRFgmW5E,4/4/17
Portland Trail Blazers,109,Minnesota Timberwolves,110, PWdBnzcmwPw,4/3/17
Houston Rockets,123,Phoenix Suns,116, gM8viNZnE2c,4/2/17
Washington Wizards,115,Golden State Warriors,139, w-Fo45DpsZU,4/2/17
Indiana Pacers,130,Cleveland Cavaliers,135, Egn9maWVY_A,4/2/17
Chicago Bulls,117,New Orleans Pelicans,110, YoasZ5g3kJk,4/2/17
Memphis Grizzlies,103,Los Angeles Lakers,108, UI3lF_BD7_8,4/2/17
Dallas Mavericks,109,Milwaukee Bucks,105, AzHSV6qNG0g,4/2/17
Utah Jazz,103,San Antonio Spurs,109, 8J8dLpu_YfY,4/2/17
Charlotte Hornets,113,Oklahoma City Thunder,101, 2priqDE94Lk,4/2/17
Boston Celtics,110,New York Knicks,94, HnKTjYp3hts,4/2/17
Sacramento Kings,123,Minnesota Timberwolves,117, EOAkaaHOirU,4/1/17
Atlanta Hawks,104,Chicago Bulls,106, TB4FHSEx1qA,4/1/17
Los Angeles Lakers,104,Los Angeles Clippers,115, yBVBgGaudOI,4/1/17
Indiana Pacers,100,Toronto Raptors,111, ThB_IMvl3hc,3/31/17
Houston Rockets,98,Golden State Warriors,107, wIbD4K-yn_s,3/31/17
Washington Wizards,88,Utah Jazz,95, UrL1eOHCTGs,3/31/17
Orlando Magic,116,Boston Celtics,117, Vl7QPYybTbg,3/31/17
Oklahoma City Thunder,95,San Antonio Spurs,100, lJyBa-8wMoA,3/31/17
