homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
West Brom,1,Swansea City,2,pTy9nEzQ1Lg,5/21/17,Swansea City rally past West Brom in season finale
Tottenham,7,Hull City,1,KQbscSbtaQM,5/21/17,Harry Kane scores hat trick as Tottenham demolish Hull
Southampton,0,Stoke City,1,B3SO4GTo8Ng,5/21/17,Stoke City stifle Southampton in 1-0 win
Arsenal,3,Everton,1,Q0iCfmDEGiw,5/21/17,Arsenal beat Everton  but miss top 4 spot
Liverpool,3,Middlesbrough,0,YJTf-sWcYqg,5/21/17,Liverpool beat Middlesbrough 3-0 to secure top 4 finish
Manchester City,5,Watford,0,0zr8_3jRaXk,5/21/17,Man City secure Champions League spot with win over Watford
Chelsea,5,Sunderland,1,wzhWyTYfNpk,5/21/17,Chelsea top Sunderland to cap title-winning season
Bournemouth,1,Leicester City,1,L5tOK2lBOF0,5/21/17,Bournemouth draw Leicester to reach top half
Burnley,1,West Ham,2,hGavkn29HxI,5/21/17,West Ham come from behind to beat Burnley
Manchester United,2,Crystal Palace,0,qrNBh2XdFRc,5/21/17,Man United's youngsters take down Crystal Palace
Tottenham,6,Leicester City,1,NxKLFj0RpI8,5/18/17,Harry Kane  Tottenham demolish Leicester City
Manchester United,0,Southampton,0,4ciK9-Sjna4,5/17/17,Manchester United winless streak extended in draw against Southampton
Manchester City,3,West Brom,1,k0kPbXwpRzk,5/16/17,Man City dominate West Bromwich  hold Top 4 spot
Arsenal,2,Sunderland,0,wSZam2wwV1I,5/16/17,Alexis Sanchez leads Arsenal past Sunderland
Chelsea,4,Watford,3,RpCjOZ1PBu8,5/15/17,Chelsea top Watford  tie record with 29th Premier League win
Hull City,0,Crystal Palace,4,IHYYybNjpe4,5/14/17,Hull City relegated after 4-0 shut out by Palace
Liverpool,4,West Ham,0,vdGmLMklSW4,5/14/17,Liverpool cruise past West Ham in 4-0 win
Tottenham,2,Manchester United,1,m9lq15CHXoU,5/14/17,Tottenham top Man United in White Hart Lane finale
Manchester City,2,Leicester City,1,NaOR4pe3tl0,5/13/17,Man City hold on to defeat Leicester City 2-1
Bournemouth,2,Burnley,1,547QO8cCGPE,5/13/17,Bournemouth earn exciting 2-1 win over Burnley
Arsenal,4,Stoke City,1,Jg2lOFRwMzM,5/13/17,Arsenal overwhelm Stoke City in 4-1 win
Swansea City,2,Sunderland,0,SMlTYiHwgc0,5/13/17,Swansea top Sunderland  move closer to PL survival
Southampton,2,Middlesbrough,1,XkqRvTil-uY,5/13/17,Southampton clip Middlesbrough 2-1
Everton,1,Watford,0,mX0TylQRt2c,5/12/17,Everton cruise to 1-0 win over Watford
Chelsea,1,West Brom,0,b3jIDQ55dIg,5/12/17,Chelsea top West Brom  clinch Premier league title
Arsenal,2,Southampton,0,UF3uFpJgE4E,5/10/17,Arsenal push past Southampton in 2-0 win
Chelsea,3,Middlesbrough,0,eDTz6k6ctZs,5/8/17,Chelsea top Middlesbrough  one win from PL title
Manchester United,0,Arsenal,2,YD0sR-nK77g,5/7/17,Arsenal top Man United  keep top four hopes alive
Liverpool,0,Southampton,0,pI0k9PdTJJw,5/7/17,Southampton stifle Liverpool in 0-0 draw
Everton,0,Swansea City,1,TnZX0qcZOGM,5/6/17,Swansea top Everton to move out of relegation zone
West Brom,2,Burnley,2,F3LFHMqm4ZU,5/6/17,Burnley  West Brom play to exciting 2-2 draw
Manchester City,5,Crystal Palace,0,bIAzGVkFQJc,5/6/17,Man City thump Crystal Palace 5-0
Hull City,0,Sunderland,2,WfpwJ0tJZ-0,5/6/17,Hull drop vital points to Sunderland in 2-0 loss
