Team1,Score1,Team2,Score2,video link,date,title
West Brom,,Swansea City,,pTy9nEzQ1Lg,5/21/17,Swansea City rally past West Brom in season finale
Tottenham,,Hull City,,KQbscSbtaQM,5/21/17,Harry Kane scores hat trick as Tottenham demolish Hull
Southampton,,Stoke City,,B3SO4GTo8Ng,5/21/17,Stoke City stifle Southampton in 1-0 win
Arsenal,,Everton,,Q0iCfmDEGiw,5/21/17,Arsenal beat Everton  but miss top 4 spot
Liverpool,,Middlesbrough,,YJTf-sWcYqg,5/21/17,Liverpool beat Middlesbrough 3-0 to secure top 4 finish
Manchester City,,Watford,,0zr8_3jRaXk,5/21/17,Man City secure Champions League spot with win over Watford
Chelsea,,Sunderland,,wzhWyTYfNpk,5/21/17,Chelsea top Sunderland to cap title-winning season
Bournemouth,,Leicester City,,L5tOK2lBOF0,5/21/17,Bournemouth draw Leicester to reach top half
Burnley,,West Ham,,hGavkn29HxI,5/21/17,West Ham come from behind to beat Burnley
Manchester United,,Crystal Palace,,qrNBh2XdFRc,5/21/17,Man United's youngsters take down Crystal Palace
Tottenham,,Leicester City,,NxKLFj0RpI8,5/19/17,Harry Kane  Tottenham demolish Leicester City
Manchester United,,Southampton,,4ciK9-Sjna4,5/18/17,Manchester United winless streak extended in draw against Southampton
Manchester City,,West Brom,,k0kPbXwpRzk,5/17/17,Man City dominate West Bromwich  hold Top 4 spot
Arsenal,,Sunderland,,wSZam2wwV1I,5/17/17,Alexis Sanchez leads Arsenal past Sunderland
Chelsea,,Watford,,RpCjOZ1PBu8,5/15/17,Chelsea top Watford  tie record with 29th Premier League win
Hull City,,Palace,,IHYYybNjpe4,5/15/17,Hull City relegated after 4-0 shut out by Palace
Liverpool,,West Ham,,vdGmLMklSW4,5/15/17,Liverpool cruise past West Ham in 4-0 win
Tottenham,,Manchester United,,m9lq15CHXoU,5/15/17,Tottenham top Man United in White Hart Lane finale
Manchester City,,Leicester City,,NaOR4pe3tl0,5/13/17,Man City hold on to defeat Leicester City 2-1
Bournemouth,,Burnley,,547QO8cCGPE,5/13/17,Bournemouth earn exciting 2-1 win over Burnley
Arsenal,,Stoke City,,Jg2lOFRwMzM,5/13/17,Arsenal overwhelm Stoke City in 4-1 win
Swansea City,,Sunderland,,SMlTYiHwgc0,5/13/17,Swansea top Sunderland  move closer to PL survival
Southampton,,Middlesbrough,,XkqRvTil-uY,5/13/17,Southampton clip Middlesbrough 2-1
Everton,,Watford,,mX0TylQRt2c,5/13/17,Everton cruise to 1-0 win over Watford
Chelsea,,West Brom,,b3jIDQ55dIg,5/13/17,Chelsea top West Brom  clinch Premier league title
