homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Chelsea,3,Middlesbrough,0,eDTz6k6ctZs,2017-05-08
Arsenal,2,Manchester_United,0,YD0sR-nK77g,2017-05-07
Southampton,0,Liverpool,0,pI0k9PdTJJw,2017-05-07
Swansea_City,1,Everton,0,TnZX0qcZOGM,2017-05-06
Burnley,2,West_Brom,2,F3LFHMqm4ZU,2017-05-06
Manchester_City,5,Crystal_Palace,0,bIAzGVkFQJc,2017-05-06
Hull_City,0,Sunderland,2,WfpwJ0tJZ,2017-05-06
Bournemouth,2,Stoke_City,2,o9luWAiBQPk,2017-05-06
Leicester_City,3,Watford,0,3vdBs2oxay4,2017-05-06
West_Ham,1,Tottenham,0,e2upXuyLWdw,2017-05-05
Liverpool,1,Watford,0,jh6Ot4Y4UnQ,2017-05-02
Tottenham,2,Arsenal,0,dEcZvAkgwaA,2017-04-30
Manchester_United,1,Swansea_City,1,C2rNthffcBA,2017-04-30
Stoke_City,0,West_Ham,0,d_aWxn-1uPA,2017-04-30
Southampton,0,Hull_City,0,9rE-UPdzUfs,2017-04-30
Bournemouth,1,Sunderland,0,LczGx-lSs4o,2017-04-30
West_Brom,0,Leicester_City,1,tGwXSZUMZhY,2017-04-30
Chelsea,3,Everton,0,TzawDcN0X8w,2017-04-30
Manchester_City,2,Middlesbrough,2,cFyf8iu6INk,2017-04-30
Arsenal,1,Leicester_City,0,UE2Tn2xuBxw,2017-04-26
Middlesbrough,1,Sunderland,0,w4kUrwe2Iyg,2017-04-26
Tottenham,1,Crystal_Palace,0,vIwanFcXGAI,2017-04-26
Middlesbrough,1,Sunderland,0,jB08xiBGm8I,2017-04-26
Chelsea,4,Southampton,2,ZU2p03HZfOk,2017-04-25
Liverpool,1,Crystal_Palace,2,QUIP_SFKMqY,2017-04-23
Manchester_United,2,Burnley,0,VPgup8Vb-8c,2017-04-23
Watford,0,Hull_City,2,QoZD_72gcqI,2017-04-22
Bournemouth,4,Middlesbrough,0,el1LLg4kzcQ,2017-04-22
Stoke_City,0,Swansea_City,2,SFFVGIoevBI,2017-04-22
Everton,0,West_Ham,0,ifWJJdwz7EM,2017-04-22
Chelsea,0,Tottenham,2,6lbAXUpNF_k,2017-04-19
Arsenal,2,Middlesbrough,1,r99cBO9FTMw,2017-04-17
Chelsea,0,Manchester_United,2,nLVz-8RwGDU,2017-04-16
Liverpool,1,West_Brom,0,NObzadtdaRI,2017-04-16
Chelsea,0,Manchester_United,2,hdOHbXEm8dk,2017-04-16
Manchester_City,3,Southampton,0,X4jrmYR6CsA,2017-04-15
West_Ham,2,Sunderland,2,3V19pVRu5N4,2017-04-15
Stoke_City,3,Hull_City,1,SjZsL8-hdX4,2017-04-15
Watford,1,Swansea_City,0,CbYQ12geHQ8,2017-04-15
Everton,3,Burnley,1,NUvcZsMxrzk,2017-04-15
Stoke_City,3,Hull_City,1,NZ4FnvwEbMQ,2017-04-15
Tottenham,4,Bournemouth,0,FWlQ6KRC87s,2017-04-15
Arsenal,0,Crystal_Palace,3,RmYaZiyngs0,2017-04-11
Everton,4,Leicester_City,2,QFs6UE6QxQk,2017-04-09
Manchester_United,3,Sunderland,0,WRo3IwRfsbg,2017-04-09
Tottenham,4,Watford,0,KPzaqA2ImNI,2017-04-09
West_Brom,0,Southampton,1,rRp3jy3UUy0,2017-04-08
Liverpool,2,Stoke_City,1,Cz98yPXwf_o,2017-04-08
Burnley,0,Middlesbrough,0,YqzBkho0XGM,2017-04-08
Chelsea,3,Bournemouth,1,KTvYPMDL134,2017-04-08
West_Ham,1,Swansea_City,0,uIWhg4Wmdl0,2017-04-08
Manchester_City,3,Hull_City,1,vKu20kVewJs,2017-04-08
Tottenham,3,Swansea_City,1,jN1nMDC1g38,2017-04-06
Southampton,3,Crystal_Palace,1,Cf6o5KVThSA,2017-04-06
Liverpool,2,Bournemouth,2,krQLbmdb0Ew,2017-04-05
Hull_City,4,Middlesbrough,2,yJnCY4tIG8o,2017-04-05
Chelsea,2,Manchester_City,1,B-dPaWw-4RY,2017-04-05
Arsenal,3,West_Ham,0,eA4mmJC_-sA,2017-04-05
Liverpool,2,Bournemouth,2,t-Gfw8mVdH0,2017-04-05
Chelsea,2,Manchester_City,1,J8dDKGY52Y4,2017-04-05
Southampton,3,Crystal_Palace,1,fuWkr7mHiO4,2017-04-05
Tottenham,3,Swansea_City,1,NRSOe6F24us,2017-04-05
Chelsea,2,Manchester_City,1,uO3UrHpltsk,2017-04-05
Liverpool,2,Bournemouth,2,TdWYbuBEPNw,2017-04-05
Hull_City,4,Middlesbrough,2,Lf_I7fURQmw,2017-04-05
Manchester_United,1,Everton,1,QbSLM-ZNhys,2017-04-04
West_Brom,0,Watford,2,wT0KcMZKpLc,2017-04-04
Stoke_City,0,Burnley,1,nDyq-__tBTA,2017-04-04
Leicester_City,2,Sunderland,0,MfxiYuLLih8,2017-04-04
Manchester_United,1,Everton,1,DATZYnjtKKM,2017-04-04
Manchester_United,0,West_Brom,0,#NAME?,2017-04-02
Liverpool,3,Everton,1,I05ckonGAA0,2017-04-01
Southampton,0,Bournemouth,0,1gCBfY5u0_Y,2017-04-01
Watford,1,Sunderland,0,Fg7gBRV-HmU,2017-04-01
Tottenham,2,Burnley,0,mRtE6i4hzH0,2017-04-01
West_Ham,1,Hull_City,2,5ilTukYuAq0,2017-04-01
Chelsea,1,Crystal_Palace,2,S4wM6k_GDSA,2017-04-01
Liverpool,1,Manchester_City,1,#NAME?,2017-03-19
Manchester_United,3,Middlesbrough,1,HYAnqREIb64,2017-03-19
Tottenham,2,Southampton,1,uUUNGKccBm4,2017-03-19
Bournemouth,2,Swansea_City,0,WRLLm8xUGv8,2017-03-18
Everton,4,Hull_City,0,FchHI5S2Gcs,2017-03-18
Arsenal,1,West_Brom,3,rq1vuEisAm8,2017-03-18
Chelsea,2,Stoke_City,1,fMGUWddMCPM,2017-03-18
Watford,0,Crystal_Palace,1,-852pkbdKko,2017-03-18
